# I energy_spread Eo(eV) omega_s To R sigma_z td
# 0.00044 0.001017 2.75e+09 9217.43 1.181e-06 5.36 0.00145 0.00327
# resistance : 0 inductance : 0
# nq Lq dq np Lp dp
# 480 20 0.0416667 480 20 0.0416667
# nt ntint ntot t1 t2 dt
# 8000 10 80000 0 63.118 0.000788975
# bolometer cutoff : 2.5 cm-1
# t aire val.moy rms_z rms_E thz thz_lp thz_hp thz_lp_hp thz_lp_hp2 feedback DiffWithCI numprocs numthreads niter wc_time
0.994109 1 0.00198352 1.23102 1.15179 0.0957127 0.208609 0.0853254 0.203475 0 0 0 1 1 1260 13.7649
1.002 1 0.00200886 1.23126 1.1514 0.0938583 0.207486 0.0834293 0.2023 0 0 0 1 1 1270 13.8742
1.00989 1 0.00203425 1.2315 1.15102 0.0920216 0.206356 0.0815517 0.201118 0 0 0 1 1 1280 13.9834
1.01778 1 0.00205969 1.23174 1.15064 0.0902051 0.205218 0.0796953 0.199929 0 0 0 1 1 1290 14.0926
1.02567 1 0.00208518 1.23197 1.15027 0.0884111 0.204075 0.0778623 0.198733 0 0 0 1 1 1300 14.2021
1.03356 1 0.00211072 1.23219 1.1499 0.0866421 0.202924 0.0760551 0.197531 0 0 0 1 1 1310 14.3112
1.04145 1 0.00213631 1.23241 1.14954 0.0849 0.201768 0.0742759 0.196324 0 0 0 1 1 1320 14.4205
1.04934 1 0.00216194 1.23263 1.14918 0.0831871 0.200607 0.0725266 0.195111 0 0 0 1 1 1330 14.5296
1.05723 1 0.00218761 1.23284 1.14882 0.0815054 0.19944 0.0708094 0.193893 0 0 0 1 1 1340 14.6387
1.06512 1 0.00221332 1.23305 1.14847 0.0798566 0.198268 0.069126 0.19267 0 0 0 1 1 1350 14.7481
1.07301 1 0.00223908 1.23325 1.14812 0.0782427 0.197091 0.0674782 0.191443 0 0 0 1 1 1360 14.8572
1.0809 1 0.00226486 1.23345 1.14778 0.0766651 0.195911 0.0658677 0.190211 0 0 0 1 1 1370 14.9663
1.08879 1 0.00229069 1.23365 1.14744 0.0751256 0.194726 0.064296 0.188977 0 0 0 1 1 1380 15.0755
1.09668 1 0.00231654 1.23384 1.14711 0.0736256 0.193539 0.0627645 0.187739 0 0 0 1 1 1390 15.1846
1.10457 1 0.00234243 1.23402 1.14678 0.0721664 0.192349 0.0612746 0.186498 0 0 0 1 1 1400 15.2938
1.11245 1 0.00236834 1.2342 1.14646 0.0707493 0.191156 0.0598275 0.185256 0 0 0 1 1 1410 15.403
1.12034 1 0.00239428 1.23437 1.14614 0.0693754 0.189961 0.0584244 0.184011 0 0 0 1 1 1420 15.5122
1.12823 1 0.00242024 1.23454 1.14583 0.0680459 0.188765 0.0570662 0.182766 0 0 0 1 1 1430 15.6213
1.13612 1 0.00244622 1.23471 1.14552 0.0667615 0.187567 0.0557539 0.181519 0 0 0 1 1 1440 15.7304
1.14401 1 0.00247223 1.23487 1.14521 0.0655232 0.186369 0.0544883 0.180272 0 0 0 1 1 1450 15.8396
1.1519 1 0.00249825 1.23502 1.14492 0.0643318 0.185171 0.0532702 0.179025 0 0 0 1 1 1460 15.9487
1.15979 1 0.00252429 1.23517 1.14463 0.0631879 0.183973 0.0521002 0.177778 0 0 0 1 1 1470 16.0578
1.16768 1 0.00255035 1.23531 1.14434 0.062092 0.182776 0.0509788 0.176533 0 0 0 1 1 1480 16.1669
1.17557 1 0.00257642 1.23545 1.14406 0.0610447 0.181581 0.0499065 0.175289 0 0 0 1 1 1490 16.2762
1.18346 1 0.0026025 1.23558 1.14378 0.0600462 0.180386 0.0488836 0.174047 0 0 0 1 1 1500 16.3854
1.19135 1 0.00262858 1.23571 1.14351 0.059097 0.179195 0.0479104 0.172808 0 0 0 1 1 1510 16.495
1.19924 1 0.00265468 1.23583 1.14325 0.0581971 0.178005 0.046987 0.171571 0 0 0 1 1 1520 16.6043
1.20713 1 0.00268078 1.23595 1.14299 0.0573467 0.176819 0.0461136 0.170338 0 0 0 1 1 1530 16.7135
1.21502 1 0.00270688 1.23606 1.14274 0.0565459 0.175637 0.0452901 0.169108 0 0 0 1 1 1540 16.8229
1.22291 1 0.00273299 1.23616 1.14249 0.0557945 0.174458 0.0445165 0.167883 0 0 0 1 1 1550 16.9325
1.2308 1 0.0027591 1.23626 1.14225 0.0550926 0.173285 0.0437927 0.166663 0 0 0 1 1 1560 17.0419
1.23869 1 0.0027852 1.23635 1.14201 0.0544397 0.172115 0.0431183 0.165447 0 0 0 1 1 1570 17.1511
1.24658 1 0.0028113 1.23644 1.14178 0.0538357 0.170952 0.0424931 0.164238 0 0 0 1 1 1580 17.2603
1.25447 1 0.0028374 1.23652 1.14156 0.0532803 0.169794 0.0419168 0.163034 0 0 0 1 1 1590 17.3695
1.26236 1 0.00286349 1.2366 1.14134 0.0527729 0.168642 0.0413888 0.161837 0 0 0 1 1 1600 17.479
1.27025 1 0.00288957 1.23667 1.14113 0.0523131 0.167497 0.0409086 0.160646 0 0 0 1 1 1610 17.5881
1.27814 1 0.00291564 1.23673 1.14092 0.0519004 0.166359 0.0404757 0.159463 0 0 0 1 1 1620 17.6972
1.28603 1 0.0029417 1.23679 1.14072 0.0515341 0.165228 0.0400895 0.158288 0 0 0 1 1 1630 17.8064
1.29392 1 0.00296774 1.23684 1.14053 0.0512136 0.164105 0.0397492 0.157121 0 0 0 1 1 1640 17.9164
1.30181 1 0.00299377 1.23689 1.14034 0.0509382 0.162991 0.0394542 0.155962 0 0 0 1 1 1650 18.0259
1.3097 1 0.00301979 1.23693 1.14016 0.050707 0.161885 0.0392035 0.154811 0 0 0 1 1 1660 18.1351
1.31759 1 0.00304578 1.23696 1.13999 0.0505193 0.160787 0.0389964 0.15367 0 0 0 1 1 1670 18.2443
1.32548 1 0.00307176 1.23699 1.13982 0.0503741 0.159699 0.0388319 0.152538 0 0 0 1 1 1680 18.3535
1.33337 1 0.00309771 1.23701 1.13966 0.0502706 0.15862 0.0387092 0.151417 0 0 0 1 1 1690 18.4627
1.34126 1 0.00312364 1.23703 1.1395 0.0502079 0.157552 0.0386273 0.150305 0 0 0 1 1 1700 18.5717
1.34915 1 0.00314954 1.23704 1.13935 0.0501848 0.156493 0.0385851 0.149203 0 0 0 1 1 1710 18.6809
1.35704 1 0.00317542 1.23704 1.13921 0.0502004 0.155445 0.0385816 0.148112 0 0 0 1 1 1720 18.7901
